lat,lon,heading_deg,bearing_deg,range_ft,target_lat,target_lon,airspeed_fps,groundspeed_fps,theta_deg,phi_deg,gps_altitude_ft,baro_altitude_ft,bat_voltage_V,sound_bit
37.904684,-97.106813,326.9,227.55,37408.16,37.827131,-97.191524,30,30,3.21,-11.84,39985.97,39985.97,16,0
37.90472,-97.106845,322.67,227.53,37412.07,37.827131,-97.191524,30,30,3.65,-8.81,39985.56,39985.56,16,1
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904802,-97.106937,313,227.47,37417.34,37.827131,-97.191524,30,30,1.19,-8.69,39982.76,39982.76,16,0
37.904892,-97.107088,298.87,227.38,37414.04,37.827131,-97.191524,30,30,1.85,-10.44,39978.23,39978.23,16,0
37.904991,-97.107517,271.81,227.2,37361.39,37.827131,-97.191524,30,30,1.85,-10.7,39968.99,39968.99,16,0
37.90491,-97.107989,242.49,227.07,37250.43,37.827131,-97.191524,30,30,1.8,-9.43,39960.19,39960.19,16,0
37.904787,-97.108215,228.81,227.03,37174.08,37.827131,-97.191524,30,30,2.05,-5.49,39955.56,39955.56,16,0
37.904595,-97.108477,228,227.01,37071.64,37.827131,-97.191524,30,30,2.19,-0.28,39950.02,39950.02,16,0
37.904393,-97.108752,226.34,226.99,36964.4,37.827131,-97.191524,30,30,2.17,-0.11,39944.16,39944.16,16,0
37.904188,-97.109029,227.18,226.97,36855.71,37.827131,-97.191524,30,30,2.15,0.34,39938.11,39938.11,16,0
37.903981,-97.109309,227.5,226.95,36745.6,37.827131,-97.191524,30,30,2.12,-0.21,39931.91,39931.91,16,0
37.903771,-97.109592,226.58,226.93,36634.51,37.827131,-97.191524,30,30,2.1,-0.3,39925.63,39925.63,16,0
37.90356,-97.109878,226.36,226.9,36522.44,37.827131,-97.191524,30,30,2.09,0.14,39919.29,39919.29,16,0
37.903347,-97.110166,226.92,226.88,36409.3,37.827131,-97.191524,30,30,2.07,0.32,39912.87,39912.87,16,0
37.903132,-97.110454,227.4,226.86,36295.75,37.827131,-97.191524,30,30,2.06,0.12,39906.44,39906.44,16,0
37.902917,-97.110744,227.34,226.84,36181.76,37.827131,-97.191524,30,30,2.05,-0.19,39899.99,39899.99,16,0
37.902701,-97.111034,226.83,226.81,36067.68,37.827131,-97.191524,30,30,2.04,-0.34,39893.54,39893.54,16,0
37.902486,-97.111325,226.33,226.79,35953.54,37.827131,-97.191524,30,30,2.03,-0.2,39887.09,39887.09,16,0
37.90227,-97.111615,226.23,226.77,35839.34,37.827131,-97.191524,30,30,2.03,0.09,39880.64,39880.64,16,0
37.902053,-97.111905,226.57,226.75,35725.05,37.827131,-97.191524,30,30,2.02,0.3,39874.19,39874.19,16,0
37.901836,-97.112196,227,226.72,35610.23,37.827131,-97.191524,30,30,2.02,0.27,39867.72,39867.72,16,0
37.901625,-97.11248,227.23,226.7,35498.63,37.827131,-97.191524,30,30,2.02,-0.14,39861.43,39861.43,16,0
37.901408,-97.112769,226.82,226.68,35384.4,37.827131,-97.191524,30,30,2.01,-0.32,39854.99,39854.99,16,0
37.901192,-97.113059,226.32,226.65,35270.15,37.827131,-97.191524,30,30,2.01,-0.26,39848.56,39848.56,16,0
37.900974,-97.113351,226.09,226.63,35155.04,37.827131,-97.191524,30,30,2.01,-0.06,39842.08,39842.08,16,0
37.900755,-97.113643,226.13,226.61,35039.68,37.827131,-97.191524,30,30,2.01,0.15,39835.59,39835.59,16,0
37.900541,-97.113929,226.69,226.58,34926.99,37.827131,-97.191524,30,30,2.01,0.29,39829.25,39829.25,16,0
37.900322,-97.114221,226.98,226.56,34811.48,37.827131,-97.191524,30,30,2.01,0.2,39822.75,39822.75,16,0
37.900107,-97.114507,227.04,226.54,34698.5,37.827131,-97.191524,30,30,2.01,-0.14,39816.39,39816.39,16,0
37.899887,-97.1148,226.81,226.51,34582.79,37.827131,-97.191524,30,30,2,-0.28,39809.89,39809.89,16,0
37.899672,-97.115086,226.19,226.49,34469.72,37.827131,-97.191524,30,30,2,-0.26,39803.53,39803.53,16,0
37.899452,-97.115378,225.97,226.47,34354,37.827131,-97.191524,30,30,2,-0.13,39797.02,39797.02,16,0
37.899237,-97.115664,226.04,226.44,34240.72,37.827131,-97.191524,30,30,2,0.19,39790.65,39790.65,16,0
37.899016,-97.115957,226.25,226.42,34124.85,37.827131,-97.191524,30,30,2,0.28,39784.14,39784.14,16,0
37.898799,-97.116245,226.71,226.39,34010.82,37.827131,-97.191524,30,30,2,0.24,39777.73,39777.73,16,0
37.898579,-97.116536,226.88,226.37,33895.28,37.827131,-97.191524,30,30,2,0.09,39771.24,39771.24,16,0
37.898363,-97.116822,226.76,226.35,33781.92,37.827131,-97.191524,30,30,2,-0.21,39764.87,39764.87,16,0
37.898146,-97.117109,226.29,226.32,33668.05,37.827131,-97.191524,30,30,2,-0.31,39758.47,39758.47,16,0
37.897928,-97.117397,225.87,226.3,33553.97,37.827131,-97.191524,30,30,2,-0.18,39752.05,39752.05,16,0
37.897706,-97.11769,225.76,226.27,33437.6,37.827131,-97.191524,30,30,2,-0.06,39745.51,39745.51,16,0
37.897484,-97.117984,225.73,226.25,33320.87,37.827131,-97.191524,30,30,2,0.04,39738.95,39738.95,16,0
37.897266,-97.118271,226,226.22,33207.09,37.827131,-97.191524,30,30,2,0.25,39732.56,39732.56,16,0
37.897044,-97.118564,226.16,226.2,33090.59,37.827131,-97.191524,30,30,2,0.28,39726.01,39726.01,16,0
37.896821,-97.118857,226.32,226.17,32973.98,37.827131,-97.191524,30,30,2,0.27,39719.46,39719.46,16,0
37.896603,-97.119143,226.64,226.15,32860.17,37.827131,-97.191524,30,30,2,0.09,39713.07,39713.07,16,0
37.89638,-97.119436,226.66,226.12,32743.66,37.827131,-97.191524,30,30,2,-0.01,39706.52,39706.52,16,0
37.896157,-97.119729,226.61,226.1,32626.96,37.827131,-97.191524,30,30,2,-0.11,39699.96,39699.96,16,0
37.895939,-97.120015,226.25,226.07,32513.16,37.827131,-97.191524,30,30,2,-0.29,39693.57,39693.57,16,0
37.895716,-97.120307,226.03,226.05,32396.81,37.827131,-97.191524,30,30,2,-0.31,39687.03,39687.03,16,0
37.895493,-97.120599,225.83,226.02,32280.25,37.827131,-97.191524,30,30,2,-0.29,39680.48,39680.48,16,0
37.895269,-97.120892,225.66,226,32163.71,37.827131,-97.191524,30,30,2,-0.23,39673.93,39673.93,16,0
37.895046,-97.121184,225.52,225.97,32047.18,37.827131,-97.191524,30,30,2,-0.16,39667.38,39667.38,16,0
37.894822,-97.121476,225.44,225.94,31930.68,37.827131,-97.191524,30,30,2,-0.06,39660.84,39660.84,16,0
37.894598,-97.121767,225.41,225.92,31814.19,37.827131,-97.191524,30,30,2,0.04,39654.29,39654.29,16,0
37.894374,-97.122059,225.44,225.89,31697.69,37.827131,-97.191524,30,30,2,0.13,39647.74,39647.74,16,0
37.894151,-97.12235,225.52,225.87,31581.19,37.827131,-97.191524,30,30,2,0.2,39641.2,39641.2,16,0
37.893927,-97.122642,225.63,225.84,31464.71,37.827131,-97.191524,30,30,2,0.25,39634.65,39634.65,16,0
37.893702,-97.122933,225.77,225.81,31348.24,37.827131,-97.191524,30,30,2,0.28,39628.11,39628.11,16,0
